ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols
209184_s_at	1.85819975824065	9.37899686811198	8.20486641614272	9.74881899064616e-10	6.2425375838639e-06	12.0096358024013	IRS2
209185_s_at	1.8977858496945	10.4766598682018	8.15555625681187	1.12407267198414e-09	6.2425375838639e-06	11.8789220308234	IRS2
200788_s_at	-0.826806302254987	10.2927899905163	-7.53576754296385	6.88967459097884e-09	2.55078718940006e-05	10.2083299286231	PEA15
202314_at	-0.876189201815081	7.28169103280937	-7.40667854950243	1.01022435826743e-08	2.80514048681909e-05	9.85429755348629	NA
203181_x_at	0.799477597915025	11.2052189599203	7.23211851188283	1.69942644276306e-08	3.77510589995386e-05	9.37249251829179	SRPK2
201761_at	-2.13325709383745	7.76064262311655	-6.75185298346709	7.20689854073082e-08	0.000122586159986976	8.03042263511459	MTHFD2
219014_at	-1.28042756157286	12.8745494677506	-6.728891473557	7.72578662022894e-08	0.000122586159986976	7.96571419320424	PLAC8
208894_at	-0.695811853588884	13.8502153162227	-6.34344587899862	2.49450367484405e-07	0.000346330653956161	6.87335861930791	HLA-DRA
220179_at	2.41688508403125	6.18938087577959	6.23347540409392	3.49026649246475e-07	0.00042282020439908	6.55988328766945	DPEP3
201900_s_at	-0.778892352907516	9.90091676230297	-6.20508229623751	3.80679035202197e-07	0.00042282020439908	6.47884005352402	AKR1A1
202113_s_at	-0.978631793778236	9.6681116321708	-6.16046625116496	4.36343243971202e-07	0.000428366334514753	6.35140946160452	SNX2
210543_s_at	1.18549526830193	8.51902294666146	6.13988162233313	4.64712623897063e-07	0.000428366334514753	6.29258435584542	PRKDC
213400_s_at	0.923258729222225	12.1099104285044	6.11507376336833	5.01374119806589e-07	0.000428366334514753	6.22166481681246	TBL1X
209944_at	-0.707293521646651	9.95773837700394	-6.07912679525121	5.59709580125972e-07	0.000442200095737104	6.11885395240511	NA
203509_at	0.809002363464295	13.9720528049557	6.05796340697477	5.97191089948371e-07	0.000442200095737104	6.0583002730547	SORL1
204070_at	-0.719287389211404	11.8161472123768	-5.93859128612891	8.60988538843238e-07	0.000476494411101005	5.71644201723185	RARRES3
218950_at	1.05943156838886	10.3457604058913	5.9080497998095	9.45521330690054e-07	0.000476494411101005	5.62890491176406	ARAP3
210982_s_at	-0.779019295359584	13.4929376258519	-5.89697826292983	9.78178048883947e-07	0.000476494411101005	5.59716578882008	HLA-DRA
211967_at	-1.4202899149391	11.5977260055805	-5.89544091356793	9.82801116280425e-07	0.000476494411101005	5.59275837198074	TMEM123
209759_s_at	-0.530385922189661	7.09783274713505	-5.89274649430707	9.90956555862444e-07	0.000476494411101005	5.58503361506748	ECI1
210895_s_at	-1.46092773603278	7.58943042808909	-5.88586728343744	1.0120873469934e-06	0.000476494411101005	5.56531046227463	CD86
218118_s_at	-0.873068497420202	7.53778414607691	-5.88399997432905	1.01790063709807e-06	0.000476494411101005	5.55995656275448	NA
220038_at	-0.953896011572902	8.09578010028004	-5.87168363884795	1.05709074864436e-06	0.000476494411101005	5.52464139740394	NA
221139_s_at	0.590537715277296	9.56686238742881	5.87101207544927	1.05927057592326e-06	0.000476494411101005	5.52271569186237	CSAD
200703_at	-0.601048960328349	11.7158341933058	-5.85781290138119	1.10303953590025e-06	0.000476494411101005	5.48486502849532	DYNLL1
218700_s_at	-0.651310031089038	9.87983888674715	-5.85417752969794	1.11540962353706e-06	0.000476494411101005	5.47443936105553	RAB29
201943_s_at	1.04829248535266	8.41526904569027	5.81845200229415	1.24461427825917e-06	0.000494746355300871	5.37196973496106	CPD
210113_s_at	0.714623195949242	10.5031470996142	5.81639123568431	1.25250867527191e-06	0.000494746355300871	5.36605819403274	NLRP1
217733_s_at	-0.520597096464634	14.851677789828	-5.79872745029246	1.3222650600025e-06	0.000494746355300871	5.31538456026845	TMSB10
203633_at	1.07210086567084	9.07434672262405	5.79090269973637	1.35439644763524e-06	0.000494746355300871	5.29293534245734	CPT1A
201942_s_at	1.55261299390455	6.34750275550479	5.78459809565526	1.38085324699082e-06	0.000494746355300871	5.27484672137288	CPD
201923_at	-1.41746151263614	7.91561278908622	-5.74300126922194	1.56886048674117e-06	0.000532602036751198	5.1554866910881	PRDX4
205126_at	-1.46983579789498	6.60327904828778	-5.74019836093512	1.58241354216166e-06	0.000532602036751198	5.14744310734844	VRK2
212560_at	0.840224016257292	13.3470163650264	5.72051374592166	1.6809537722117e-06	0.000549128045528097	5.09095130613598	SORL1
218459_at	-0.614882003402436	6.96297979862571	-5.70202080042225	1.77911437863497e-06	0.000564589240099961	5.03787618399261	TOR3A
219452_at	1.02712023270072	11.9608774748395	5.67408125824825	1.93839954783755e-06	0.000576541511967299	4.95768459655345	DPEP2
204386_s_at	-0.706057611225045	9.69449781296066	-5.66245778255633	2.00879568197026e-06	0.000576541511967299	4.92432192394584	MRPL57
217388_s_at	-1.3013126623664	8.85736194171518	-5.66153619630009	2.0144853317299e-06	0.000576541511967299	4.9216766881063	KYNU
219933_at	-0.860203164281243	6.79257088995004	-5.65295379572386	2.06825080241377e-06	0.000576541511967299	4.89704243470184	GLRX2
221087_s_at	-0.794540113249818	9.85336627013245	-5.65168538613538	2.07631768062411e-06	0.000576541511967299	4.89340167371084	APOL3
220308_at	0.544537247700522	3.62285490648268	5.63053557649494	2.21555769331596e-06	0.000600199982918544	4.8326942247608	CFAP45
205686_s_at	-1.48810246774497	6.21855877453227	-5.59633774968277	2.46071558553554e-06	0.000642655214529995	4.73453454035442	CD86
200042_at	-0.862275433567632	8.53133688583499	-5.59274491298357	2.48799623883945e-06	0.000642655214529995	4.72422199600165	RTCB
204929_s_at	-1.84253095894072	7.7170201300604	-5.58121317430492	2.57761580112938e-06	0.000646095053823683	4.69112270425521	VAMP5
208857_s_at	-0.853661597064823	9.22854312448823	-5.56166343286361	2.73697725758059e-06	0.000646095053823683	4.63501106004852	PCMT1
201548_s_at	0.908460960107938	6.73484444313511	5.55748850922228	2.77226473948019e-06	0.000646095053823683	4.62302851084866	KDM5B
201549_x_at	0.925239583895374	7.2253588196948	5.555685881235	2.78764112434889e-06	0.000646095053823683	4.61785478338004	KDM5B
221541_at	1.46189479675252	11.5353293977261	5.55515756974021	2.79216373309956e-06	0.000646095053823683	4.61633847968614	CRISPLD2
200673_at	-0.603333088218616	12.6483048241779	-5.54324846015188	2.89607900541237e-06	0.000647255152247244	4.58215879977008	LAPTM4A
203225_s_at	-1.10240508205365	5.25821278736528	-5.54126849272921	2.91372626383022e-06	0.000647255152247244	4.57647631979263	RFK
203300_x_at	-1.07566032089807	10.7555074300904	-5.52801401132077	3.0346600639288e-06	0.000653250105330759	4.53843708011917	AP1S2
203932_at	-0.52663920143133	11.6100820464415	-5.52536731310189	3.05940236311251e-06	0.000653250105330759	4.53084149033384	HLA-DMB
201940_at	0.964449441175955	9.0682769094764	5.5192715884259	3.11715635027732e-06	0.000653250105330759	4.51334804697917	CPD
203595_s_at	-2.7295765741297	7.89674438942043	-5.50200779389907	3.28669748876736e-06	0.000676024981624797	4.463806955153	IFIT5
201357_s_at	0.816353763133995	9.67943712707188	5.48777854272473	3.43333625582856e-06	0.000693346650790687	4.42297686508688	SF3A1
204118_at	-1.11576725439514	11.2174204115854	-5.47365981558619	3.58528948263987e-06	0.000711103755065734	4.38246684983782	CD48
218074_at	-0.615275007597186	9.93882174817639	-5.44542585564272	3.90958332563922e-06	0.000733693842690446	4.30146682683808	FAM96B
204633_s_at	0.657704744280601	10.9396199720683	5.44173695796213	3.95406119860817e-06	0.000733693842690446	4.29088488010571	RPS6KA5
